method,n_features,test_r2,test_mse,cv_r2_mean,cv_r2_std
RL (PPO),4,0.5809264905050257,0.4141939000111307,0.5982985954611454,0.012417613288108427
LassoCV,8,0.576901908689488,0.4181716203879215,0.6103418527745026,0.01000319519442731
Forward Selection,4,0.5809264905050257,0.4141939000111307,0.5982985954611454,0.012417613288108427
RFE,4,0.5697431633179306,0.4252470107369924,0.5925920034251746,0.007209238276088507
All Features,8,0.576901908689488,0.4181716203879215,0.6103418527745026,0.01000319519442731
