method,n_features,test_r2,test_mse,cv_r2_mean,cv_r2_std
RL (PPO),7,0.5758540957249978,0.41920723282443045,0.6106003612154487,0.010313216828241486
LassoCV,8,0.576901908689488,0.4181716203879215,0.6103418527745026,0.01000319519442731
Forward Selection,7,0.5758540957249978,0.41920723282443045,0.6106003612154487,0.010313216828241486
RFE,7,0.5767375147602504,0.4183341001465948,0.6103187034044433,0.009937329835573385
All Features,8,0.576901908689488,0.4181716203879215,0.6103418527745026,0.01000319519442731
