Method,n_features,test_r2,test_mse,cv_r2_mean,cv_r2_std
Bandit (One-step),7,0.5758540957249978,0.41920723282443045,0.6106003612154487,0.010313216828241486
Sequential MDP (Multi-step),4,0.5809264905050257,0.4141939000111307,0.5982985954611454,0.012417613288108427
