design_id,run_id,n,p_total,p_true,snr,rho,sigma_true,total_timesteps,reward_type,bandit_n_selected,bandit_test_r2,bandit_test_mse,bandit_precision,bandit_recall,bandit_f1,bandit_runtime_sec,sequential_g0.3_n_selected,sequential_g0.3_test_r2,sequential_g0.3_test_mse,sequential_g0.3_precision,sequential_g0.3_recall,sequential_g0.3_f1,sequential_g0.3_runtime_sec,lasso_n_selected,lasso_test_r2,lasso_test_mse,lasso_precision,lasso_recall,lasso_f1,lasso_runtime_sec,adaptive_lasso_n_selected,adaptive_lasso_test_r2,adaptive_lasso_test_mse,adaptive_lasso_precision,adaptive_lasso_recall,adaptive_lasso_f1,adaptive_lasso_runtime_sec,forward_n_selected,forward_test_r2,forward_test_mse,forward_precision,forward_recall,forward_f1,forward_runtime_sec,backward_n_selected,backward_test_r2,backward_test_mse,backward_precision,backward_recall,backward_f1,backward_runtime_sec,mcmc_n_selected,mcmc_test_r2,mcmc_test_mse,mcmc_precision,mcmc_recall,mcmc_f1,mcmc_runtime_sec,all_features_test_r2,all_features_test_mse
1,1,10000,200,20,0.5,0.0,6.324555320336759,10000,cv_rmse,89,0.34236270578005046,40.23888788690891,0.2247191011235955,1.0,0.36697247706422015,999.8876521587372,8,0.09801805694175758,55.18961683246319,0.75,0.3,0.4285714285714285,1416.1624372005463,46,0.3271750239215334,41.16817737967072,0.43478260869565216,1.0,0.6060606060606061,0.09931278228759766,34,0.3233466411837811,41.40242483662998,0.5882352941176471,1.0,0.7407407407407407,0.12343716621398926,58,0.33230007146240337,40.85459082485594,0.3448275862068966,1.0,0.5128205128205129,282.2801730632782,58,0.33230007146240337,40.85459082485594,0.3448275862068966,1.0,0.5128205128205129,3200.429114818573,,,,,,,,0.3763349040774986,38.16022919376969
1,1,10000,200,20,0.5,0.0,6.324555320336759,10000,aic,101,0.38959861729697143,36.673108500488695,0.19801980198019803,1.0,0.3305785123966942,237.76899003982544,0,0.0,60.08031688606255,0.0,0.0,0.0,338.48913502693176,66,0.37099221391409654,37.79098711184172,0.30303030303030304,1.0,0.4651162790697675,1.1705219745635986,57,0.36918103753610965,37.89980316256772,0.3508771929824561,1.0,0.5194805194805194,0.931128978729248,52,0.3667713592234991,38.04457739918284,0.38461538461538464,1.0,0.5555555555555556,46.29521989822388,52,0.36677135922349924,38.044577399182835,0.38461538461538464,1.0,0.5555555555555556,568.1489949226379,,,,,,,,0.41533659648012844,35.12676255515774
1,1,10000,200,20,0.5,0.0,6.324555320336759,10000,bic,53,0.32137770578686464,40.080278826050254,0.37735849056603776,1.0,0.5479452054794521,233.63856673240662,0,0.0,59.06124683469685,0.0,0.0,0.0,353.1175298690796,21,0.3103590627644123,40.73105362138273,0.9523809523809523,1.0,0.975609756097561,1.1253271102905273,21,0.3103590627644123,40.73105362138273,0.9523809523809523,1.0,0.975609756097561,0.8557779788970947,21,0.3103590627644123,40.73105362138273,0.9523809523809523,1.0,0.975609756097561,8.63322901725769,21,0.3103590627644123,40.73105362138273,0.9523809523809523,1.0,0.975609756097561,570.9398803710938,,,,,,,,0.3697945446630996,37.220719954225196
1,1,10000,200,20,0.5,0.0,6.324555320336759,10000,bayes_factor,20,0.32987642250767146,38.66243935405479,1.0,1.0,1.0,220.94760608673096,2,0.02050826920274218,56.51127778768635,0.5,0.05,0.09090909090909091,302.31553196907043,21,0.32987699233143575,38.6624064783622,0.9523809523809523,1.0,0.975609756097561,1.00111985206604,21,0.32987699233143575,38.6624064783622,0.9523809523809523,1.0,0.975609756097561,0.7412850856781006,21,0.32987699233143575,38.6624064783622,0.9523809523809523,1.0,0.975609756097561,7.669014930725098,21,0.32987699233143575,38.6624064783622,0.9523809523809523,1.0,0.975609756097561,489.7654230594635,21.0,0.32987699233143575,38.6624064783622,0.9523809523809523,1.0,0.975609756097561,30.966006994247437,0.39043662133357226,35.16844944977823
2,1,10000,200,20,0.5,0.5,10.583005604713367,10000,cv_rmse,93,0.35253841899573535,109.42081894908574,0.21505376344086022,1.0,0.35398230088495575,866.4931571483612,0,0.0,168.99970926362198,0.0,0.0,0.0,1186.9849708080292,29,0.3329378759187269,112.73330503050927,0.6896551724137931,1.0,0.8163265306122449,0.08847188949584961,26,0.33081591147098766,113.09191640524496,0.7692307692307693,1.0,0.8695652173913044,0.10961508750915527,55,0.34278973597077855,111.06834354600666,0.36363636363636365,1.0,0.5333333333333333,216.42088675498962,58,0.34440261455332455,110.79576753447886,0.3448275862068966,1.0,0.5128205128205129,2635.3281269073486,,,,,,,,0.39412594728801387,102.39253875869804
2,1,10000,200,20,0.5,0.5,10.583005604713367,10000,aic,95,0.36254124067292404,102.83348420812317,0.21052631578947367,1.0,0.34782608695652173,184.70416498184204,0,0.0,161.3178620632303,0.0,0.0,0.0,264.87666392326355,36,0.3419010897843928,106.1631092221235,0.5555555555555556,1.0,0.7142857142857143,1.0813498497009277,44,0.34243518608641943,106.0769499485447,0.45454545454545453,1.0,0.625,0.8834598064422607,35,0.3407723724989141,106.34519148149073,0.5714285714285714,1.0,0.7272727272727273,17.33517289161682,42,0.3446809429255503,105.71466925654222,0.47619047619047616,1.0,0.6451612903225806,459.49117827415466,,,,,,,,0.40509050584469286,95.96952771825195
2,1,10000,200,20,0.5,0.5,10.583005604713367,10000,bic,41,0.3549902789653304,107.59170987551121,0.4878048780487805,1.0,0.6557377049180327,187.1322009563446,0,0.0,166.80633851986255,0.0,0.0,0.0,279.35787320137024,20,0.3511846051977635,108.22652038228014,1.0,1.0,1.0,1.0867290496826172,20,0.3511846051977635,108.22652038228014,1.0,1.0,1.0,0.9057581424713135,20,0.3511846051977635,108.22652038228014,1.0,1.0,1.0,6.707995891571045,20,0.3511846051977635,108.22652038228014,1.0,1.0,1.0,463.8667747974396,,,,,,,,0.4097460594134795,98.45809862615798
2,1,10000,200,20,0.5,0.5,10.583005604713367,10000,bayes_factor,25,0.3437294083681862,110.20098223225162,0.8,1.0,0.888888888888889,190.90242218971252,0,0.0,167.9200373099721,0.0,0.0,0.0,285.432541847229,22,0.3422417734249191,110.45078594742864,0.9090909090909091,1.0,0.9523809523809523,1.034588098526001,22,0.3422417734249191,110.45078594742864,0.9090909090909091,1.0,0.9523809523809523,0.8009159564971924,22,0.3422417734249191,110.45078594742864,0.9090909090909091,1.0,0.9523809523809523,6.978481769561768,22,0.3422417734249191,110.45078594742864,0.9090909090909091,1.0,0.9523809523809523,459.6161892414093,22.0,0.3422417734249191,110.45078594742864,0.9090909090909091,1.0,0.9523809523809523,32.75039100646973,0.40004490835473716,100.74448137338025
3,1,10000,200,20,0.5,0.9,21.06579207275637,10000,cv_rmse,62,0.3524352851248358,420.4848329273767,0.3225806451612903,1.0,0.4878048780487805,833.9195330142975,0,0.0,649.3325273419764,0.0,0.0,0.0,1161.9268202781677,34,0.34082748638640126,428.0221542190815,0.5882352941176471,1.0,0.7407407407407407,0.13134503364562988,43,0.34015758552043807,428.45714264144584,0.3023255813953488,0.65,0.4126984126984127,0.1526949405670166,25,0.3337036821596411,432.6478720219331,0.44,0.55,0.48888888888888893,57.18165874481201,58,0.34908189690520663,422.6622969751873,0.20689655172413793,0.6,0.3076923076923077,2521.749011039734,,,,,,,,0.3982578524182476,390.73074949744785
3,1,10000,200,20,0.5,0.9,21.06579207275637,10000,aic,67,0.32923555610226696,434.8263676966339,0.29850746268656714,1.0,0.45977011494252873,185.52313494682312,0,0.0,648.2549450145407,0.0,0.0,0.0,262.1701657772064,35,0.3224983199006056,439.19381438009185,0.5714285714285714,1.0,0.7272727272727273,1.3449108600616455,41,0.32362245636909914,438.46508735551976,0.3170731707317073,0.65,0.42622950819672134,1.2130811214447021,21,0.317631977667847,442.3484447966107,0.6190476190476191,0.65,0.6341463414634146,6.988446235656738,48,0.3264881243338782,436.607403926582,0.25,0.6,0.35294117647058826,448.65247893333435,,,,,,,,0.3720594740560238,407.06555111821405
