design_id,run_id,n,p_total,p_true,snr,rho,sigma_true,total_timesteps,reward_type,bandit_n_selected,bandit_test_r2,bandit_test_mse,bandit_precision,bandit_recall,bandit_f1,bandit_runtime_sec,sequential_g0.3_n_selected,sequential_g0.3_test_r2,sequential_g0.3_test_mse,sequential_g0.3_precision,sequential_g0.3_recall,sequential_g0.3_f1,sequential_g0.3_runtime_sec,lasso_n_selected,lasso_test_r2,lasso_test_mse,lasso_precision,lasso_recall,lasso_f1,lasso_runtime_sec,adaptive_lasso_n_selected,adaptive_lasso_test_r2,adaptive_lasso_test_mse,adaptive_lasso_precision,adaptive_lasso_recall,adaptive_lasso_f1,adaptive_lasso_runtime_sec,forward_n_selected,forward_test_r2,forward_test_mse,forward_precision,forward_recall,forward_f1,forward_runtime_sec,backward_n_selected,backward_test_r2,backward_test_mse,backward_precision,backward_recall,backward_f1,backward_runtime_sec,mcmc_n_selected,mcmc_test_r2,mcmc_test_mse,mcmc_precision,mcmc_recall,mcmc_f1,mcmc_runtime_sec,all_features_test_r2,all_features_test_mse
1,1,1000,50,5,0.5,0.0,3.1622776601683795,10000,cv_rmse,17,0.3200998292688392,9.587015063471382,0.29411764705882354,1.0,0.45454545454545453,48.51189112663269,4,0.21896009177134146,11.013148235141745,1.0,0.8,0.888888888888889,86.137619972229,8,0.30175357395542746,9.845708668238128,0.625,1.0,0.7692307692307693,0.017895936965942383,5,0.2944718566389398,9.9483854090397,1.0,1.0,1.0,0.01781606674194336,16,0.32394859386037644,9.532745090167591,0.3125,1.0,0.47619047619047616,2.5739009380340576,16,0.32394859386037633,9.532745090167593,0.3125,1.0,0.47619047619047616,7.201144218444824,,,,,,,,0.41392210944452446,8.264062588895245
1,1,1000,50,5,0.5,0.0,3.1622776601683795,10000,aic,11,0.36076272401339227,9.228862726704467,0.45454545454545453,1.0,0.625,9.060343027114868,0,0.0,14.437303757764298,0.0,0.0,0.0,18.16498827934265,13,0.36807404902920293,9.123306906579465,0.38461538461538464,1.0,0.5555555555555556,0.04938101768493652,9,0.3506847511838386,9.374361481707227,0.5555555555555556,1.0,0.7142857142857143,0.04017782211303711,10,0.3516907551657884,9.359837496638297,0.5,1.0,0.6666666666666666,0.19684982299804688,10,0.3516907551657885,9.359837496638296,0.5,1.0,0.6666666666666666,1.1267051696777344,,,,,,,,0.4963552434397376,7.271272336465762
1,1,1000,50,5,0.5,0.0,3.1622776601683795,10000,bic,5,0.3947308890720098,9.211146572633861,1.0,1.0,1.0,9.58902907371521,0,0.0,15.218266398084413,0.0,0.0,0.0,23.767621755599976,5,0.3947308890720098,9.211146572633861,1.0,1.0,1.0,0.0651552677154541,5,0.3947308890720098,9.211146572633861,1.0,1.0,1.0,0.052427053451538086,5,0.3947308890720098,9.21114657263386,1.0,1.0,1.0,0.12879109382629395,5,0.3947308890720098,9.211146572633861,1.0,1.0,1.0,1.2199687957763672,,,,,,,,0.5118478327393771,7.42882972417442
1,1,1000,50,5,0.5,0.0,3.1622776601683795,10000,bayes_factor,5,0.2841622867137138,10.754986721507755,1.0,1.0,1.0,9.753747940063477,2,0.07240203412183299,13.936544024926848,0.5,0.2,0.28571428571428575,18.627062797546387,6,0.2842441049365587,10.753757456991591,0.8333333333333334,1.0,0.9090909090909091,0.04435086250305176,6,0.2842441049365587,10.753757456991591,0.8333333333333334,1.0,0.9090909090909091,0.039005279541015625,6,0.2842441049365587,10.753757456991591,0.8333333333333334,1.0,0.9090909090909091,0.10860705375671387,6,0.2842441049365587,10.753757456991591,0.8333333333333334,1.0,0.9090909090909091,0.9906580448150635,6.0,0.2842441049365587,10.753757456991591,0.8333333333333334,1.0,0.9090909090909091,2.5087368488311768,0.49744625245093765,7.550536638983299
2,1,1000,50,5,0.5,0.5,4.716990566028302,10000,cv_rmse,22,0.31226625713860523,22.62085697306983,0.22727272727272727,1.0,0.37037037037037035,41.35346007347107,4,0.2094142339721773,26.00385356090416,0.75,0.6,0.6666666666666665,83.00054693222046,11,0.2565288173276553,24.454166254598995,0.45454545454545453,1.0,0.625,0.01914501190185547,13,0.2621870943556378,24.26805487546052,0.38461538461538464,1.0,0.5555555555555556,0.018230915069580078,17,0.28633509586112027,23.473781664481713,0.29411764705882354,1.0,0.45454545454545453,2.588780164718628,17,0.2863350958611205,23.473781664481706,0.29411764705882354,1.0,0.45454545454545453,6.979006052017212,,,,,,,,0.4941119457412708,16.63961007956191
2,1,1000,50,5,0.5,0.5,4.716990566028302,10000,aic,19,0.4758488995801927,18.801278845298874,0.2631578947368421,1.0,0.4166666666666667,8.990585088729858,0,0.0,35.86995969337926,0.0,0.0,0.0,16.538127660751343,10,0.41512861929059963,20.979312851857266,0.5,1.0,0.6666666666666666,0.054144859313964844,7,0.4068877712274286,21.274911739722473,0.7142857142857143,1.0,0.8333333333333333,0.04763293266296387,11,0.42075375711822227,20.77753938471074,0.45454545454545453,1.0,0.625,0.19042325019836426,12,0.43361143096935284,20.31633514192007,0.4166666666666667,1.0,0.5882352941176471,1.065619945526123,,,,,,,,0.593099009777362,14.595522118482135
2,1,1000,50,5,0.5,0.5,4.716990566028302,10000,bic,5,0.25486449502168296,25.69093584024994,1.0,1.0,1.0,8.603776931762695,0,0.0,34.47820653908785,0.0,0.0,0.0,16.414849042892456,5,0.25486449502168296,25.69093584024994,1.0,1.0,1.0,0.05525398254394531,5,0.25486449502168296,25.69093584024994,1.0,1.0,1.0,0.04839587211608887,5,0.25486449502168296,25.69093584024994,1.0,1.0,1.0,0.09457993507385254,5,0.25486449502168296,25.69093584024994,1.0,1.0,1.0,1.0690245628356934,,,,,,,,0.4667792280446833,18.38449590640727
2,1,1000,50,5,0.5,0.5,4.716990566028302,10000,bayes_factor,5,0.2989278067688007,24.90385263150186,1.0,1.0,1.0,9.841159105300903,2,0.13178845070876966,30.84106413757917,0.5,0.2,0.28571428571428575,18.47682499885559,5,0.2989278067688007,24.90385263150186,1.0,1.0,1.0,0.05461597442626953,4,0.28400818089265656,25.433835374682925,1.0,0.8,0.888888888888889,0.047415971755981445,4,0.28400818089265656,25.433835374682925,1.0,0.8,0.888888888888889,0.0777428150177002,4,0.28400818089265656,25.433835374682925,1.0,0.8,0.888888888888889,1.0566329956054688,4.0,0.28400818089265656,25.433835374682925,1.0,0.8,0.888888888888889,2.4813289642333984,0.48306765541024554,18.36274074826204
3,1,1000,50,5,0.5,0.9,6.525059386702929,10000,cv_rmse,12,0.46434217382451914,36.97300538776113,0.4166666666666667,1.0,0.5882352941176471,41.41997981071472,2,0.4452094259693633,38.293615588833056,1.0,0.4,0.5714285714285715,76.98578667640686,6,0.45990974146823416,37.27894760942135,0.6666666666666666,0.8,0.7272727272727272,0.023240089416503906,6,0.4600369330768268,37.270168392914144,0.6666666666666666,0.8,0.7272727272727272,0.021061182022094727,8,0.4762123102896909,36.153686415771574,0.5,0.8,0.6153846153846154,1.1899199485778809,19,0.48907274858178984,35.26601329493309,0.21052631578947367,0.8,0.3333333333333333,6.352366209030151,,,,,,,,0.5910432794559299,28.227645136810924
3,1,1000,50,5,0.5,0.9,6.525059386702929,10000,aic,11,0.39854918725869604,43.55807795969404,0.45454545454545453,1.0,0.625,8.198871850967407,0,0.0,72.42167944069142,0.0,0.0,0.0,15.95356798171997,8,0.40097247896639654,43.38257910444767,0.5,0.8,0.6153846153846154,0.09753108024597168,8,0.3877212900752923,44.34225245852727,0.5,0.8,0.6153846153846154,0.09364914894104004,8,0.39036240654348087,44.15097836830259,0.5,0.8,0.6153846153846154,0.13799667358398438,16,0.4084878000712502,42.8383069284981,0.1875,0.6,0.2857142857142857,1.0124139785766602,,,,,,,,0.5080377803542191,35.62873016811777
