config_id,run_id,n_samples,n_informative,n_fake,noise,method,n_selected,test_r2,test_mse,precision,recall,f1,runtime_sec
1,1,500,5,15,2.0,Bandit,5,0.9423858135588717,0.04259270093428601,0.6,0.6,0.6,77.51161479949951
1,1,500,5,15,2.0,Sequential,2,0.8492871417300246,0.11141817833015623,1.0,0.4,0.5714285714285715,58.78745794296265
1,1,500,5,15,2.0,Lasso,9,0.9505994485955661,0.03652056970565581,0.5555555555555556,1.0,0.7142857142857143,0.06747913360595703
1,1,500,5,15,2.0,Rfe,5,0.9522873076798735,0.03527277846468117,1.0,1.0,1.0,0.004859209060668945
2,1,1000,8,22,2.0,Bandit,9,0.9722346142894688,0.025326475117174115,0.5555555555555556,0.625,0.5882352941176471,409.8394470214844
2,1,1000,8,22,2.0,Sequential,2,0.7967644600795972,0.1853833365897459,1.0,0.25,0.4,151.32283806800842
2,1,1000,8,22,2.0,Lasso,16,0.9772885308889447,0.02071649439025945,0.5,1.0,0.6666666666666666,0.2201850414276123
2,1,1000,8,22,2.0,Rfe,8,0.977489711047293,0.02053298589059029,1.0,1.0,1.0,0.49927496910095215
3,1,2000,10,40,2.0,Bandit,8,0.9823385614465606,0.019506473836631316,1.0,0.8,0.888888888888889,2729.8875648975372
3,1,2000,10,40,2.0,Sequential,4,0.6752023732866151,0.35872821959062906,0.75,0.3,0.4285714285714285,1487.7524542808533
3,1,2000,10,40,2.0,Lasso,26,0.981453899531758,0.020483553616579487,0.34615384615384615,0.9,0.5,0.4690511226654053
3,1,2000,10,40,2.0,Rfe,10,0.9820980386870006,0.01977212325710608,0.9,0.9,0.9,1.697218894958496
4,1,5000,15,35,2.0,Bandit,11,0.962030183922986,0.041893708578144756,1.0,0.7333333333333333,0.846153846153846,4527.978497028351
4,1,5000,15,35,2.0,Sequential,4,0.5924513994706847,0.4496656572519425,0.75,0.2,0.31578947368421056,2923.533190011978
4,1,5000,15,35,2.0,Lasso,26,0.9828917203075989,0.018876290637097278,0.5769230769230769,1.0,0.7317073170731707,0.5255947113037109
4,1,5000,15,35,2.0,Rfe,15,0.9831236183482489,0.018620427692827755,1.0,1.0,1.0,1.4795711040496826
