config_id,n_samples,n_informative,n_fake,noise,method,n_selected,test_r2,test_mse,precision,recall,f1,runtime_sec
1,8000,10,40,10.0,Bandit,7,0.5159877944364297,0.5276300036398325,1.0,0.7,0.8235294117647058,38.730384826660156
1,8000,10,40,10.0,Sequential,4,0.3684580647985122,0.6884546913048923,0.75,0.3,0.4285714285714285,24.70901608467102
1,8000,10,40,10.0,Lasso,23,0.5193405004598853,0.5239751613217561,0.43478260869565216,1.0,0.6060606060606061,0.05097198486328125
1,8000,10,40,10.0,Rfe,10,0.5205372033768556,0.5226706149545801,0.9,0.9,0.9,0.03867006301879883
1,8000,10,40,10.0,All Features,50,0.5173510577511247,0.5261438869274306,0.2,1.0,0.33333333333333337,0.0
2,10000,15,60,12.0,Bandit,9,0.6900491416574778,0.32034560166256437,1.0,0.6,0.7499999999999999,94.88185596466064
2,10000,15,60,12.0,Sequential,4,0.38972695782239974,0.6307396144029533,0.75,0.2,0.31578947368421056,68.70460867881775
2,10000,15,60,12.0,Lasso,24,0.7306042252537579,0.2784304325141406,0.5833333333333334,0.9333333333333333,0.7179487179487181,0.19126605987548828
2,10000,15,60,12.0,Rfe,15,0.7306756662350619,0.278356595634767,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8231801986694336
2,10000,15,60,12.0,All Features,75,0.729935770777633,0.279121304778484,0.2,1.0,0.33333333333333337,0.0
3,12000,20,80,15.0,Bandit,13,0.7281528671034259,0.2743466890801555,1.0,0.65,0.787878787878788,122.63176012039185
3,12000,20,80,15.0,Sequential,8,0.38750521562095164,0.6181264977224752,0.75,0.3,0.4285714285714285,63.550225257873535
3,12000,20,80,15.0,Lasso,42,0.7426267086617823,0.2597397647124206,0.47619047619047616,1.0,0.6451612903225806,0.15649104118347168
3,12000,20,80,15.0,Rfe,20,0.7433678048280468,0.2589918543801015,0.9,0.9,0.9,0.32689380645751953
3,12000,20,80,15.0,All Features,100,0.7427015207589904,0.25966426473950016,0.2,1.0,0.33333333333333337,0.0
4,15000,25,100,18.0,Bandit,16,0.6125449273719341,0.38481533555843317,1.0,0.64,0.7804878048780487,146.51015400886536
4,15000,25,100,18.0,Sequential,4,0.21789882673508199,0.7767727065467847,0.75,0.12,0.20689655172413793,105.06622695922852
4,15000,25,100,18.0,Lasso,62,0.6452792507880221,0.3523040315659514,0.3870967741935484,0.96,0.5517241379310344,0.27629995346069336
4,15000,25,100,18.0,Rfe,25,0.6495419641936901,0.3480703600889845,0.96,0.96,0.96,0.5176019668579102
4,15000,25,100,18.0,All Features,125,0.6447579847103225,0.35282174625024915,0.2,1.0,0.33333333333333337,0.0
