n,p_total,p_true,snr,rho,reward_type,bandit_n_selected_mean,bandit_n_selected_std,bandit_test_r2_mean,bandit_test_r2_std,bandit_test_mse_mean,bandit_test_mse_std,bandit_f1_mean,bandit_f1_std,bandit_runtime_sec_mean,bandit_runtime_sec_std,sequential_g0.3_n_selected_mean,sequential_g0.3_n_selected_std,sequential_g0.3_test_r2_mean,sequential_g0.3_test_r2_std,sequential_g0.3_test_mse_mean,sequential_g0.3_test_mse_std,sequential_g0.3_f1_mean,sequential_g0.3_f1_std,sequential_g0.3_runtime_sec_mean,sequential_g0.3_runtime_sec_std,lasso_n_selected_mean,lasso_n_selected_std,lasso_test_r2_mean,lasso_test_r2_std,lasso_test_mse_mean,lasso_test_mse_std,lasso_f1_mean,lasso_f1_std,lasso_runtime_sec_mean,lasso_runtime_sec_std,adaptive_lasso_n_selected_mean,adaptive_lasso_n_selected_std,adaptive_lasso_test_r2_mean,adaptive_lasso_test_r2_std,adaptive_lasso_test_mse_mean,adaptive_lasso_test_mse_std,adaptive_lasso_f1_mean,adaptive_lasso_f1_std,adaptive_lasso_runtime_sec_mean,adaptive_lasso_runtime_sec_std,forward_n_selected_mean,forward_n_selected_std,forward_test_r2_mean,forward_test_r2_std,forward_test_mse_mean,forward_test_mse_std,forward_f1_mean,forward_f1_std,forward_runtime_sec_mean,forward_runtime_sec_std,backward_n_selected_mean,backward_n_selected_std,backward_test_r2_mean,backward_test_r2_std,backward_test_mse_mean,backward_test_mse_std,backward_f1_mean,backward_f1_std,backward_runtime_sec_mean,backward_runtime_sec_std,mcmc_n_selected_mean,mcmc_n_selected_std,mcmc_test_r2_mean,mcmc_test_r2_std,mcmc_test_mse_mean,mcmc_test_mse_std,mcmc_f1_mean,mcmc_f1_std,mcmc_runtime_sec_mean,mcmc_runtime_sec_std,all_features_test_r2_mean,all_features_test_r2_std
1000,50,5,0.5,0.0,aic,15.75,3.304037933599835,0.36548666546010355,0.05520975930275565,9.770434742554627,1.052731423267513,0.4915000897384125,0.08038811391994809,7.852643728256226,1.4080822534688027,0.0,0.0,0.0,0.0,15.587847015420628,2.970016732338958,0.0,0.0,14.89028137922287,2.33919681290322,10.75,1.8929694486000912,0.35529463813129725,0.05359053809235362,9.934075590428,1.1206510713020839,0.6426753393665159,0.08613193659196187,0.04339611530303955,0.0059445683878583885,12.0,3.559026084010437,0.35775964207683153,0.057337184150176634,9.888957069215149,1.074327789691434,0.6119711042311662,0.15213917562961368,0.03703749179840088,0.005469782062547175,12.25,2.5,0.3628401944814526,0.05975883299521632,9.801759692065053,0.9938009141645491,0.5895191409897292,0.09080298786181139,0.20068323612213135,0.05250976284887606,12.5,2.516611478423583,0.3632463053233663,0.059481447932473286,9.796374955314317,1.0006299701126091,0.5813492063492064,0.09241290198258502,0.9566287994384766,0.17801246963753237,,,,,,,,,,,0.4786914235925894,0.06905138161274628
1000,50,5,0.5,0.0,bayes_factor,5.0,0.0,0.3441205249158482,0.060997660147061025,10.00712726449736,1.045363238038601,1.0,0.0,8.977501928806305,1.6437293499030723,2.0,0.0,0.07522572530533522,0.03766977834312099,14.166327865840202,1.6610238263415855,0.28571428571428575,0.0,17.09171438217163,2.4024750480241877,5.0,0.0,0.3441205249158482,0.060997660147061025,10.00712726449736,1.045363238038601,1.0,0.0,0.04289895296096802,0.00792692171035109,5.0,0.0,0.3441205249158482,0.060997660147061025,10.00712726449736,1.045363238038601,1.0,0.0,0.03579509258270264,0.005652021131309277,5.0,0.0,0.3441205249158482,0.06099766014706099,10.00712726449736,1.045363238038601,1.0,0.0,0.09184575080871582,0.01901519053487513,5.0,0.0,0.3441205249158482,0.060997660147061025,10.00712726449736,1.045363238038601,1.0,0.0,0.9455907344818115,0.14256480582425052,5.0,0.0,0.3441205249158482,0.060997660147061025,10.00712726449736,1.045363238038601,1.0,0.0,2.4988274574279785,0.366245154828709,0.5091815619424004,0.0439841162663566
1000,50,5,0.5,0.0,bic,5.75,0.4999999999999999,0.361972345688533,0.044676179456555234,9.658840134529125,0.7156005704247712,0.9318181818181818,0.045454545454545525,7.912093460559845,1.543889510586246,0.0,0.0,0.0,0.0,15.139081035212042,0.4069765841717818,0.0,0.0,15.120535731315613,2.6892820581384704,5.75,0.4999999999999999,0.361972345688533,0.044676179456555234,9.658840134529125,0.7156005704247712,0.9318181818181818,0.045454545454545525,0.04366523027420044,0.008838993007662591,5.75,0.4999999999999999,0.361972345688533,0.044676179456555234,9.658840134529125,0.7156005704247712,0.9318181818181818,0.045454545454545525,0.03637528419494629,0.006939725544463375,5.75,0.4999999999999999,0.361972345688533,0.044676179456555234,9.658840134529125,0.7156005704247728,0.9318181818181818,0.045454545454545525,0.10062319040298462,0.02051441501163269,5.75,0.4999999999999999,0.361972345688533,0.044676179456555234,9.658840134529125,0.7156005704247712,0.9318181818181818,0.045454545454545525,0.9927287697792053,0.18417601781406387,,,,,,,,,,,0.5094032131845576,0.027874709599090868
1000,50,5,0.5,0.0,cv_rmse,17.0,3.366501646120692,0.363201055050714,0.04900203024223739,10.056166540855676,0.31015810695300217,0.46278600626426714,0.07229731542749954,42.92504668235779,6.412785537105201,5.5,1.9148542155126762,0.2670810002425853,0.06693900372514944,11.581791642005697,0.7964929844204516,0.7074592074592074,0.0501210673593478,72.93371438980103,12.182978324327058,11.5,3.415650255319866,0.3551096895046756,0.052709477359785595,10.180232606289257,0.293877660850576,0.6250808015513898,0.12387428810892767,0.015097260475158691,0.003107533824485129,8.0,3.559026084010437,0.34402669821582377,0.053443915285781185,10.355414760243677,0.3015550217021826,0.8084693084693085,0.1934887952693653,0.0154532790184021,0.0029528500740907933,12.0,0.816496580927726,0.35716331775843624,0.04942129401693385,10.15102589674714,0.3023766507656679,0.5892565359477124,0.028375089847732456,1.6521047949790955,0.18072632739410663,13.5,2.3804761428476167,0.3620431690158148,0.049025149847746835,10.074877157409935,0.33148886217554596,0.5473564425770308,0.07072677460447706,6.3277687430381775,1.0777137322789232,,,,,,,,,,,0.4509577957702266,0.0391337299830826
1000,50,5,0.5,0.5,aic,15.5,1.9148542155126762,0.36107542742047233,0.025104725543222996,22.48996961371854,1.2176365779279956,0.4909011659583742,0.04424962515908672,7.8373377323150635,1.3078402049265503,0.5,1.0,0.053371161397385486,0.10674232279477097,33.257085152755195,3.2347755647012186,0.14285714285714288,0.28571428571428575,15.020550549030304,2.2175451883190025,13.5,2.516611478423583,0.35277565880230033,0.020822120570903536,22.775288428804345,0.923530682552701,0.5476641414141414,0.07018184404735815,0.051700055599212646,0.006172649600916701,11.75,0.957427107756338,0.3525417189443506,0.02100798335547789,22.784518747589665,0.9592168871772336,0.5984477124183006,0.033436898577910316,0.045975446701049805,0.006914483344054281,12.75,1.4999999999999998,0.3517320122722413,0.0248598111603078,22.813493976016797,1.0832237497657795,0.5664667182662538,0.048731270353959105,0.202517569065094,0.046535123195213385,14.0,1.8257418583505534,0.35441089000492587,0.02703303096198288,22.719324918317813,1.1481148114507724,0.5299953314659197,0.0511204481792717,0.9074217081069946,0.12458736884645687,,,,,,,,,,,0.46912159861815295,0.01824159888848584
1000,50,5,0.5,0.5,bayes_factor,5.5,0.5773502691896258,0.35360402459908874,0.03611064074597253,19.996436335436606,0.647880556754655,0.9545454545454546,0.05248638810814784,8.839046061038971,1.5670432658068678,2.0,0.0,0.2549990350087715,0.0417204567286642,23.05194617047602,0.9546705368467604,0.5714285714285715,0.0,17.056823194026947,2.4560072942777325,5.25,0.4999999999999999,0.3534470529954037,0.03594094918262207,20.00148354520345,0.6463037693839533,0.9772727272727273,0.04545454545454547,0.05175095796585083,0.005319007758017673,5.25,0.4999999999999999,0.3534470529954037,0.03594094918262207,20.00148354520345,0.6463037693839533,0.9772727272727273,0.04545454545454547,0.04549968242645264,0.004027862492050505,5.25,0.4999999999999999,0.3534470529954037,0.03594094918262207,20.00148354520345,0.6463037693839533,0.9772727272727273,0.04545454545454547,0.09120851755142212,0.011871724641561767,5.25,0.4999999999999999,0.3534470529954037,0.03594094918262207,20.00148354520345,0.6463037693839533,0.9772727272727273,0.04545454545454547,0.9793190360069275,0.1667063525356231,5.25,0.4999999999999999,0.3534470529954037,0.03594094918262207,20.00148354520345,0.6463037693839533,0.9772727272727273,0.04545454545454547,2.3959283232688904,0.3449952531561278,0.506703751528467,0.02584813996095171
1000,50,5,0.5,0.5,bic,5.0,0.0,0.32956622119773393,0.06410957630406539,22.549233000963827,1.6153403769066226,1.0,0.0,7.860914051532745,1.2696057442804245,0.0,0.0,0.0,0.0,33.70901305260459,1.30103623581122,0.0,0.0,14.881581962108612,2.091200295053938,5.0,0.0,0.32956622119773393,0.06410957630406539,22.549233000963827,1.6153403769066226,1.0,0.0,0.05220609903335571,0.005199729587417047,4.75,0.5,0.3264061203656839,0.0667554165918467,22.65596464529909,1.741034049387688,0.9722222222222222,0.055555555555555525,0.045743346214294434,0.005165200107251062,5.0,0.0,0.3268682685900976,0.06633748026259027,22.640355700350867,1.7215728933858883,0.9500000000000001,0.09999999999999991,0.0889657735824585,0.012289997493667397,5.0,0.0,0.3268682685900976,0.06633748026259027,22.640355700350867,1.7215728933858883,0.9500000000000001,0.09999999999999991,0.965124249458313,0.1339147599071771,,,,,,,,,,,0.49315085756925153,0.039406681312944516
1000,50,5,0.5,0.5,cv_rmse,16.75,3.9475730941090035,0.3379136723696915,0.03913413745443092,20.524201340210887,1.8013322904344289,0.47364130434782614,0.10222930582951431,39.471629083156586,6.315439714052725,4.5,0.9999999999999999,0.28451399334693933,0.03422088238412039,22.16471184874461,1.510631252941846,0.7474747474747474,0.17062436982249068,72.45457595586777,11.073883855123798,11.25,4.349329450233296,0.3281976230351128,0.05803649065733598,20.81020493500829,2.022525815169046,0.6475999490705373,0.1630317775016638,0.015916407108306885,0.00223892054670857,16.0,4.760952285695234,0.3406199523795303,0.05201328820428457,20.406789502103454,1.5505870004752464,0.4954594017094017,0.11385225152749526,0.01598191261291504,0.0020995258932667423,14.25,3.304037933599835,0.3314533524100832,0.03902958007959028,20.72031977641224,1.7423463888954926,0.4998020947509439,0.06482158080623554,1.966783583164215,0.37242688760291853,15.75,3.304037933599834,0.3361991032852121,0.035100131854070314,20.59914648001874,2.073483346572067,0.46208832503253017,0.04832578627182389,6.074919819831848,1.1222205492497388,,,,,,,,,,,0.4769658166997085,0.05925251643506931
1000,50,5,0.5,0.9,aic,12.0,2.581988897471611,0.3620246118968157,0.07110441798856248,40.66497093615227,4.103685856401203,0.5987103174603174,0.09247500564577542,7.767901182174683,1.2903127119941176,0.5,1.0,0.10202580697013575,0.2040516139402715,57.06272601596083,12.082872648113282,0.14285714285714288,0.28571428571428575,14.845605969429016,2.1904211264712465,9.75,1.707825127659933,0.3584525926122427,0.06776968365504338,40.89149951802266,3.825632032805949,0.651271277741866,0.10919120051243794,0.10428619384765625,0.012442203425036916,10.5,1.0,0.3543144865627915,0.07030203119341935,41.12151162038189,3.4785743668735334,0.5509803921568628,0.08260155439466443,0.09334951639175415,0.011755648748605314,7.0,3.265986323710904,0.3410902867881249,0.08082532579722804,41.91528529112101,3.548738194302613,0.5729166666666666,0.16796370308955308,0.1185535192489624,0.05132735481042105,11.5,1.7320508075688772,0.37120495095042083,0.06911940110943633,40.021736029064684,2.987245126652966,0.4026610644257703,0.11289071446154977,0.9447890520095825,0.13863280540101353,,,,,,,,,,,0.49281864864163466,0.061670883607852646
1000,50,5,0.5,0.9,bayes_factor,3.75,1.2583057392117916,0.3010870581067652,0.012539665568414068,44.9620413692391,4.493665678422654,0.8373015873015873,0.18482580396517,8.42416501045227,1.647385752104905,1.0,1.1547005383792515,0.14802162908250832,0.17092098359797822,54.77109860364804,11.61968706855866,0.28571428571428575,0.32991443953692906,16.537901520729065,2.5014539406553418,2.75,0.9574271077563381,0.28043455387800886,0.03775754588280244,46.325634786747706,5.487737914670395,0.6954365079365079,0.15400966960575418,0.10361617803573608,0.015222925394400323,3.5,1.2909944487358056,0.2915247944509785,0.025507241215587024,45.646220910700144,5.486078569043863,0.541468253968254,0.15685449331648155,0.09287798404693604,0.011543040321698665,3.5,0.5773502691896257,0.29439194614091546,0.02608234647640317,45.460404630686526,5.471215710889371,0.6527777777777777,0.1443375672974064,0.06629830598831177,0.015384588361561292,2.5,0.5773502691896257,0.2898209018161423,0.020272295254616764,45.71061053722249,4.938487125387235,0.6607142857142857,0.10309826235529021,0.9222428202629089,0.11830401279104155,2.75,0.9574271077563381,0.2940729711940826,0.021528231896567846,45.47548168716899,5.355948140336275,0.5218253968253969,0.061603867842301735,2.5111745595932007,0.5155111304795561,0.4614134778580943,0.020815282001141935
