design_id,run_id,n,p_total,p_true,snr,rho,sigma_true,total_timesteps,reward_type,bandit_n_selected,bandit_test_r2,bandit_test_mse,bandit_precision,bandit_recall,bandit_f1,bandit_runtime_sec,sequential_g0.3_n_selected,sequential_g0.3_test_r2,sequential_g0.3_test_mse,sequential_g0.3_precision,sequential_g0.3_recall,sequential_g0.3_f1,sequential_g0.3_runtime_sec,lasso_n_selected,lasso_test_r2,lasso_test_mse,lasso_precision,lasso_recall,lasso_f1,lasso_runtime_sec,adaptive_lasso_n_selected,adaptive_lasso_test_r2,adaptive_lasso_test_mse,adaptive_lasso_precision,adaptive_lasso_recall,adaptive_lasso_f1,adaptive_lasso_runtime_sec,forward_n_selected,forward_test_r2,forward_test_mse,forward_precision,forward_recall,forward_f1,forward_runtime_sec,backward_n_selected,backward_test_r2,backward_test_mse,backward_precision,backward_recall,backward_f1,backward_runtime_sec,mcmc_n_selected,mcmc_test_r2,mcmc_test_mse,mcmc_precision,mcmc_recall,mcmc_f1,mcmc_runtime_sec,all_features_test_r2,all_features_test_mse
1,1,1000,50,5,0.5,0.0,3.1622776601683795,10000,cv_rmse,21,0.3528305332591416,9.944312585134195,0.23809523809523808,1.0,0.3846153846153846,38.55455493927002,8,0.31733660619383985,10.489707143670516,0.625,1.0,0.7692307692307693,60.40867614746094,8,0.3236476165897063,10.39273306913548,0.625,1.0,0.7692307692307693,0.012312889099121094,6,0.31061663533964945,10.592965245560881,0.8333333333333334,1.0,0.9090909090909091,0.012113809585571289,12,0.3334109335522848,10.242711350353588,0.4166666666666667,1.0,0.5882352941176471,1.3892278671264648,15,0.3484962371656256,10.010912753104897,0.3333333333333333,1.0,0.5,5.1410698890686035,,,,,,,,0.4423825123241779,8.56826980467851
1,1,1000,50,5,0.5,0.0,3.1622776601683795,10000,aic,18,0.33733518952801167,8.786457267561481,0.2777777777777778,1.0,0.4347826086956522,6.329782962799072,0,0.0,13.259278489985391,0.0,0.0,0.0,12.539902925491333,11,0.3313027461878655,8.866443113783538,0.45454545454545453,1.0,0.625,0.03911328315734863,15,0.3359260072021625,8.805142008463081,0.3333333333333333,1.0,0.5,0.031677961349487305,12,0.3316893607170792,8.861316884072416,0.4166666666666667,1.0,0.5882352941176471,0.16428613662719727,13,0.3333138040847343,8.839777937069469,0.38461538461538464,1.0,0.5555555555555556,0.7756271362304688,,,,,,,,0.4288475912389572,7.573068847988638
1,1,1000,50,5,0.5,0.0,3.1622776601683795,10000,bic,5,0.4171995932047653,8.752110601059854,1.0,1.0,1.0,6.270642042160034,0,0.0,15.017337838157832,0.0,0.0,0.0,12.556725025177002,5,0.4171995932047653,8.752110601059854,1.0,1.0,1.0,0.03749799728393555,5,0.4171995932047653,8.752110601059854,1.0,1.0,1.0,0.03138899803161621,5,0.4171995932047654,8.752110601059853,1.0,1.0,1.0,0.07517290115356445,5,0.4171995932047653,8.752110601059854,1.0,1.0,1.0,0.8044111728668213,,,,,,,,0.5288605183867359,7.075260764280938
1,1,1000,50,5,0.5,0.0,3.1622776601683795,10000,bayes_factor,5,0.4233982606671701,9.186929814859164,1.0,1.0,1.0,7.2464258670806885,2,0.1261827516781343,13.922430654883165,0.5,0.2,0.28571428571428575,14.30763578414917,5,0.4233982606671701,9.186929814859164,1.0,1.0,1.0,0.03620505332946777,5,0.4233982606671701,9.186929814859164,1.0,1.0,1.0,0.030324935913085938,5,0.4233982606671701,9.186929814859164,1.0,1.0,1.0,0.07512903213500977,5,0.4233982606671701,9.186929814859164,1.0,1.0,1.0,0.7996511459350586,5.0,0.4233982606671701,9.186929814859164,1.0,1.0,1.0,2.1302778720855713,0.5648611057034607,6.933018423155001
2,1,1000,50,5,0.5,0.5,4.716990566028302,10000,cv_rmse,18,0.39205624092255353,18.52232424073437,0.2777777777777778,1.0,0.4347826086956522,32.40144729614258,4,0.32673803729050843,20.51238488109852,0.75,0.6,0.6666666666666665,59.16368103027344,17,0.40173190326965524,18.227534216886042,0.29411764705882354,1.0,0.45454545454545453,0.012586832046508789,21,0.4022479106790331,18.211812932796175,0.23809523809523808,1.0,0.3846153846153846,0.012869119644165039,16,0.38603748985304054,18.705698536743192,0.3125,1.0,0.47619047619047616,1.7916879653930664,18,0.388698695984951,18.62461912419774,0.2777777777777778,1.0,0.4347826086956522,4.9508421421051025,,,,,,,,0.4961161500468224,15.35191357612629
2,1,1000,50,5,0.5,0.5,4.716990566028302,10000,aic,14,0.3268471458778127,24.025830522547643,0.35714285714285715,1.0,0.5263157894736842,6.354417085647583,0,0.0,35.6914932105251,0.0,0.0,0.0,12.48552918434143,13,0.3243999933162285,24.113173051584546,0.38461538461538464,1.0,0.5555555555555556,0.048178911209106445,13,0.32405255953318723,24.125573482093067,0.38461538461538464,1.0,0.5555555555555556,0.04146575927734375,12,0.31771934646378186,24.35161531336056,0.4166666666666667,1.0,0.5882352941176471,0.16454625129699707,12,0.31771934646378186,24.35161531336056,0.4166666666666667,1.0,0.5882352941176471,0.7689480781555176,,,,,,,,0.4564484652570038,19.40016591185015
2,1,1000,50,5,0.5,0.5,4.716990566028302,10000,bic,5,0.4252657528989289,20.247254038263122,1.0,1.0,1.0,6.357326030731201,0,0.0,35.228897773865384,0.0,0.0,0.0,12.537238121032715,5,0.4252657528989289,20.247254038263122,1.0,1.0,1.0,0.048362016677856445,5,0.4252657528989289,20.247254038263122,1.0,1.0,1.0,0.04018092155456543,5,0.4252657528989289,20.247254038263122,1.0,1.0,1.0,0.0746619701385498,5,0.4252657528989289,20.247254038263122,1.0,1.0,1.0,0.7960748672485352,,,,,,,,0.5514531476383634,15.801811208637186
2,1,1000,50,5,0.5,0.5,4.716990566028302,10000,bayes_factor,6,0.3830483006297031,19.837248073096156,0.8333333333333334,1.0,0.9090909090909091,7.125207901000977,2,0.3074568762185915,22.267788162008202,1.0,0.4,0.5714285714285715,14.310259819030762,5,0.38242041421496287,19.85743691216353,1.0,1.0,1.0,0.04991292953491211,5,0.38242041421496287,19.85743691216353,1.0,1.0,1.0,0.04255795478820801,5,0.38242041421496287,19.85743691216353,1.0,1.0,1.0,0.07554888725280762,5,0.38242041421496287,19.85743691216353,1.0,1.0,1.0,0.8031308650970459,5.0,0.38242041421496287,19.85743691216353,1.0,1.0,1.0,2.196807861328125,0.5184748092308553,15.482791720133095
3,1,1000,50,5,0.5,0.9,6.525059386702929,10000,cv_rmse,10,0.3049845192452705,43.78016524248126,0.5,1.0,0.6666666666666666,32.119096755981445,4,0.3066614623742916,43.6745318439114,0.5,0.4,0.4444444444444445,58.6932590007782,5,0.29117807398825946,44.64985587743926,0.8,0.8,0.8000000000000002,0.017059803009033203,11,0.30816502934753076,43.57981969380207,0.2727272727272727,0.6,0.37499999999999994,0.01526498794555664,7,0.3031175543986323,43.89776842075718,0.5714285714285714,0.8,0.6666666666666666,0.8931679725646973,9,0.2978955041898911,44.22671392970464,0.4444444444444444,0.8,0.5714285714285714,5.2400407791137695,,,,,,,,0.5010490350486623,31.429739766003614
3,1,1000,50,5,0.5,0.9,6.525059386702929,10000,aic,9,0.3020602652117299,45.883662583095656,0.5555555555555556,1.0,0.7142857142857143,6.228489875793457,0,0.0,65.74158239753338,0.0,0.0,0.0,12.388738870620728,8,0.313085715262409,45.158832050119045,0.625,1.0,0.7692307692307693,0.11673283576965332,10,0.3180482051799156,44.832590110310356,0.5,1.0,0.6666666666666666,0.1045839786529541,7,0.31505417262062074,45.02942254850814,0.5714285714285714,0.8,0.6666666666666666,0.09981703758239746,9,0.3453969452274066,43.034640663009505,0.4444444444444444,0.8,0.5714285714285714,0.7702529430389404,,,,,,,,0.4596970496251146,35.52037093170092
